Height,Element,Peak Freq (Hz),Length(ms),Interval of c-c (ms),Site,Order,Number of c note
20,c,4048.242,0.0837,50.7,zfgy,6,7
20,c,2928.516,0.0763,60.9,zfgy,6,5
20,c,3273.047,0.0736,73.6,zfgy,6,4
20,c,3617.578,0.0761,55.8,zfgy,6,3
20,c,3789.844,0.0787,53.3,zfgy,6,6
20,c,2670.117,0.0837,93.9,zfgy,6,4
20,c,3962.109,0.0812,45.7,zfgy,6,3
20,c,3962.109,0.0736,83.7,zfgy,6,2
20,c,3531.445,0.078,57.4,zfgy,6,4
20,c,3273.047,0.0771,43.1,zfgy,6,2
20,c,3186.914,0.0888,43.1,zfgy,6,15
59,c,3359.18,0.0939,55.8,lyj,1,4
59,c,3962.109,0.0812,76.1,lyj,1,2
59,c,3703.711,0.0964,66,lyj,1,3
59,c,3789.844,0.099,55.8,lyj,1,4
57,c,3014.648,0.0863,81.2,lyj,2,3
57,c,3962.109,0.071,78.7,lyj,2,6
57,c,3186.914,0.0812,91.3,lyj,2,2
47,c,4909.57,0.0863,78.7,lyj,3,4
23,c,4134.375,0.0888,68.5,lyj,4,5
23,c,2670.117,0.0837,71,lyj,4,5
23,c,3962.109,0.0761,68.5,lyj,4,5
23,c,3617.578,0.071,88.8,lyj,4,3
23,c,3014.648,0.0736,99,lyj,4,3
23,c,3789.844,0.071,88.8,lyj,4,4
39,c,2928.516,0.0812,63.4,txg,1,18
41,c,3617.578,0.0812,91.3,txg,2,4
41,c,3014.648,0.0736,68.5,txg,2,3
41,c,3703.711,0.0913,50.7,txg,2,7
41,c,4306.641,0.0837,64.6,txg,2,2
41,c,4220.508,0.0863,66,txg,2,6
41,c,3703.711,0.0812,66,txg,2,14
41,c,3962.109,0.0628,48.4,txg,2,16
41,c,3962.109,0.0812,73.6,txg,2,7
66,c,4565.039,0.0758,63.4,txg,4,4
75,c,3445.312,0.0812,68.5,lgd,2,2
26,c,2756.25,0.0787,91.3,lgd,4,2
26,c,3186.914,0.0913,66,lgd,4,4
26,c,2928.516,0.0863,83.7,lgd,4,3
68,c,4306.641,0.0716,81.2,lgd,5,2
31,c,3100.781,0.0888,73.6,lgd,6,2
31,c,4134.375,0.099,63.4,lgd,6,8
31,c,3962.109,0.0787,81.2,lgd,6,3
31,c,3617.578,0.0863,60.9,lgd,6,3
31,c,3875.977,0.0888,53.3,lgd,6,3
31,c,3359.18,0.0812,66,lgd,6,6
52,c,3014.648,0.0863,60.9,xjhy,4,7
75,c,3186.914,0.0837,73.6,xjhy,3,3
52,c,2842.383,0.0787,104,xjhy,4,4
52,c,3962.109,0.0964,68.5,xjhy,4,5
30,c,3962.109,0.0867,63.4,xjhy,2,7
30,c,3617.578,0.1059,55.8,xjhy,2,12
51,c,4392.773,0.0787,63.4,xjhy,6,4
47,c,4220.508,0.0787,48.2,xjhy,7,3
47,c,4220.508,0.0888,45.7,xjhy,7,3
47,c,3014.648,0.0837,60.9,xjhy,7,3
44,c,4306.641,0.0939,40.6,xjhy,7,7
44,c,3359.18,0.0685,76.1,xjhy,7,4
27,c,3273.047,0.0812,68.5,yzl,2,4
20,c,4737.305,0.099,73.6,lkd,1,5
30,c,4651.172,0.0837,68.5,lkd,2,11
78,c,3962.109,0.1005,100.5,lkd,3,2
69,c,4306.641,0.1005,68.2,tdxy,3,3
33,c,4220.508,0.0697,61,tdxy,4,5
31,c,3703.711,0.0879,44.9,tdxy,5,4
31,c,4220.508,0.0861,55.6,tdxy,5,3
11,c,3359.18,0.0842,52.8,tdxy,6,5
11,c,4478.906,0.1003,63.4,tdxy,6,4
11,c,4048.242,0.0787,66,tdxy,6,4
100,c,3875.977,0.0888,68.5,yhgy,1,6
100,c,2928.516,0.0761,83.7,yhgy,1,2
43,c,4220.508,0.0837,63.4,yhgy,3,5
43,c,4392.773,0.0787,66,yhgy,3,3
43,c,4220.508,0.0761,63.4,yhgy,3,5
43,c,3617.578,0.071,96.4,yhgy,3,2
43,c,3875.977,0.0761,76.1,yhgy,3,11
43,c,3273.047,0.0825,75.4,yhgy,3,5
32,c,3962.109,0.0933,64.6,yhgy,4,3
32,c,3962.109,0.0861,61,yhgy,4,4
32,c,3531.445,0.0861,71.8,yhgy,4,2
32,c,3875.977,0.1005,71.8,yhgy,4,2
5,c,3359.18,0.1005,46.6,yhgy,8,13
5,c,3789.844,0.1076,46.6,yhgy,8,5
5,c,3703.711,0.106,96.4,yhgy,8,5
86,c,4048.242,0.0913,66,txg,1,5
82,c,3445.312,0.0863,86.3,txg,2,2
35,c,3875.977,0.0751,71,txg,4,5
35,c,3445.312,0.0888,45.7,txg,4,6
35,c,4392.773,0.0787,81.2,txg,4,4
35,c,3789.844,0.0761,60.9,txg,4,4
35,c,2842.383,0.0812,76.1,txg,4,5
35,c,2842.383,0.0837,53.3,txg,4,4
35,c,2842.383,0.0837,63.4,txg,4,5
35,c,3703.711,0.0787,78.7,txg,4,5
35,c,4392.773,0.0837,76.1,txg,4,5
35,c,4478.906,0.0888,78.7,txg,4,5
35,c,4478.906,0.0837,71,txg,4,5
34,c,2583.984,0.071,66,txg,5,4
34,c,4220.508,0.0913,93.9,txg,5,2
34,c,3100.781,0.0837,71,txg,5,4
34,c,3962.109,0.099,60.9,txg,5,3
34,c,3531.445,0.0863,48.2,txg,5,9
34,c,3531.445,0.0863,101.5,txg,5,2
86,c,4134.375,0.0837,73.6,lgd,2,3
86,c,3617.578,0.0761,73.6,lgd,2,2
74,c,4392.773,0.0787,81.2,lgd,3,3
74,c,2842.383,0.0863,78.7,lgd,3,2
74,c,4392.773,0.0787,66,lgd,3,3
74,c,3875.977,0.0787,78.7,lgd,3,4
