 Height,Alarm Call Type,Site,Order
20,A,zfgy,6
39,A,txg,1
39,A,txg,1
39,A,txg,1
39,A,txg,1
39,A,txg,1
39,A,txg,1
39,A,txg,1
41,A,txg,2
59,A,txg,3
102,A,lgd,1
102,A,lgd,1
102,A,lgd,1
102,A,lgd,1
80,A,lgd,2
80,A,lgd,2
75,A,lgd,3
75,A,lgd,3
75,A,lgd,3
31,A,lgd,6
56,A,xjhy,1
56,A,xjhy,1
37,A,xjhy,2
37,A,xjhy,2
78,A,tdxy,1
78,A,tdxy,1
73,A,tdxy,2
73,A,tdxy,2
73,A,tdxy,2
73,A,tdxy,2
100,A,yhgy,1
100,A,yhgy,1
100,A,yhgy,1
100,A,yhgy,1
100,A,yhgy,1
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
70,A,yhgy,2
43,A,yhgy,3
43,A,yhgy,3
43,A,yhgy,3
43,A,yhgy,3
43,A,yhgy,3
43,A,yhgy,3
43,A,yhgy,3
43,A,yhgy,3
43,A,yhgy,3
32,A,yhgy,4
32,A,yhgy,4
74,A,yhgy,5
74,A,yhgy,5
74,A,yhgy,5
74,A,yhgy,5
32,A,yhgy,6
32,A,yhgy,6
22,A,yhgy,7
22,A,yhgy,7
22,A,yhgy,7
5,A,yhgy,8
5,A,yhgy,8
82,A,lgd,1
82,A,lgd,1
86,A,lgd,2
74,A,lgd,3
74,A,lgd,3
15,A,lgd,6
15,A,lgd,6
42,A,tdxy,3
42,A,tdxy,3
34,A,tdxy,4
34,A,tdxy,4
34,A,tdxy,4
34,A,tdxy,4
105,A,lgd,1
105,A,lgd,1
105,A,lgd,1
105,A,lgd,1
105,A,lgd,1
105,A,lgd,1
105,A,lgd,1
66,A,tdxy,1
89,A,tdxy,3
89,A,tdxy,3
33,A,tdxy,5
27,A,txg,6
27,A,txg,6
27,A,txg,6
27,A,txg,6
27,A,txg,6
27,A,txg,6
27,A,txg,6
27,A,txg,6
27,A,txg,6
21,A,txg,7
70,A,lyj,1
34,A,lyj,3
38,A,lyj,4
28,A,lyj,5
44,A,lyj,1
44,A,lyj,1
78,A,lyj,2
78,A,lyj,2
78,A,lyj,2
104,A,lyj,3
76,A,lyj,4
76,A,lyj,4
76,A,lyj,4
76,A,lyj,4
76,A,lyj,4
76,A,lyj,4
76,A,lyj,4
76,A,lyj,4
70,A,lyj,5
60,A,lyj,6
60,A,lyj,6
34,A,lyj,8
34,A,lyj,8
